,Stemmed,Lemmatized
0,three,three
1,vision,vision
2,india,india
3,3000,3000
4,year,year
5,histori,history
6,peopl,people
7,world,world
8,come,come
9,invad,invaded
10,us,u
11,captur,captured
12,land,land
13,conquer,conquered
14,mind,mind
15,alexand,alexander
16,onward,onwards
17,greek,greek
18,turk,turk
19,mogul,mogul
20,portugues,portuguese
21,british,british
22,french,french
23,dutch,dutch
24,came,came
25,loot,looted
26,us,u
27,took,took
28,yet,yet
29,done,done
30,nation,nation
31,conquer,conquered
32,anyon,anyone
33,grab,grabbed
34,land,land
35,cultur,culture
36,histori,history
37,tri,tried
38,enforc,enforce
39,way,way
40,life,life
41,respect,respect
42,freedom,freedom
43,othersthat,othersthat
44,first,first
45,vision,vision
46,freedom,freedom
47,believ,believe
48,india,india
49,got,got
50,first,first
51,vision,vision
52,1857,1857
53,start,started
54,war,war
55,independ,independence
56,freedom,freedom
57,must,must
58,protect,protect
59,nurtur,nurture
60,build,build
61,free,free
62,one,one
63,respect,respect
64,us,u
65,second,second
66,vision,vision
67,india,india
68,develop,development
69,fifti,fifty
70,year,year
71,develop,developing
72,nation,nation
73,time,time
74,see,see
75,develop,developed
76,nation,nation
77,among,among
78,top,top
79,5,5
80,nation,nation
81,world,world
82,term,term
83,gdp,gdp
84,10,10
85,percent,percent
86,growth,growth
87,rate,rate
88,area,area
89,poverti,poverty
90,level,level
91,fall,falling
92,achiev,achievement
93,global,globally
94,recognis,recognised
95,today,today
96,yet,yet
97,lack,lack
98,selfconfid,selfconfidence
99,see,see
100,develop,developed
101,nation,nation
102,selfreli,selfreliant
103,selfassur,selfassured
104,isnt,isnt
105,incorrect,incorrect
106,third,third
107,vision,vision
108,india,india
109,must,must
110,stand,stand
111,world,world
112,believ,believe
113,unless,unless
114,india,india
115,stand,stand
116,world,world
117,one,one
118,respect,respect
119,us,u
120,strength,strength
121,respect,respect
122,strength,strength
123,must,must
124,strong,strong
125,militari,military
126,power,power
127,also,also
128,econom,economic
129,power,power
130,must,must
131,go,go
132,handinhand,handinhand
133,good,good
134,fortun,fortune
135,work,worked
136,three,three
137,great,great
138,mind,mind
139,dr,dr
140,vikram,vikram
141,sarabhai,sarabhai
142,dept,dept
143,space,space
144,professor,professor
145,satish,satish
146,dhawan,dhawan
147,succeed,succeeded
148,dr,dr
149,brahm,brahm
150,prakash,prakash
151,father,father
152,nuclear,nuclear
153,materi,material
154,lucki,lucky
155,work,worked
156,three,three
157,close,closely
158,consid,consider
159,great,great
160,opportun,opportunity
161,life,life
162,see,see
163,four,four
164,mileston,milestone
165,career,career
